,ZNF90,ZNF534,H3K9me3,KAP1,SMAD1,OCT4,TCF4,SOX2,FOXP1,FOXA1,KLF4,NANOG,MED1,H3K27ac,H3K4me1,H3K4me3,Chimeric Transcript,GRO-seq,RNA-seq
chr6_120924825-120930857_2237_ZNF534_KAP1_EncodeTxn_GRO2of7__chr6_120924825-120925234____1-409,,10,11,12,,,,,,,,,,,,6,,,
chr2_207017218_207023284_5821_ZNF534_KAP1_EncodeTxn_GRO3of7_7down____chr2_207017218-207017627____1-409,,10,11,12,,,,,,,,,,,,,,,
chr2_79211346_79217707_2946_ZNF534_KAP1_EncodeRepressed_GRO4of7_C_7down_-__chr2_79217309-79217707_-__1-398,,10,11,12,,,,,,,,,,,,,,,
chr7_83833685_83834091_h3k27ac_TSS_SOLO_NANOG_SMAD11_C_7down_-__chr7_83833685-83834091_-__1-400,,,,,13,,,,,,,2,,4,5,,,,
chr2_98421606_98422016_EncodeTxn_SOLO_7down____chr2_98421606-98422016____1-399,,,11,,,,,,,,,,,,,,,,
chr6_160286611_160292314_4763_ZNF534_KAP1_EncodeRepressed_NANOG_GRO4of7_C_7down_-__chr6_160291913-160292314_-__1-399,,10,,12,,,,,,,,2,,4,,6,,,
chr2_58314169_58319388_2025_ZNF534_KAP1_EncodeRepressed_GRO3of7_7down____chr2_58314169-58314565____1-387,,10,11,12,,,,,,,,,,,,6,,,
chr8_9058914-9065195_4610_ZNF534_KAP1_EncodeTxn_GRO2of7__chr8_9064794-9065195_-__1-401,,10,11,12,,,,,,,,,,,,6,,,
chr4_117252107_117257788_4433_ZNF534_KAP1_EncodeRepressed_GRO3of7_7down____chr4_117252107-117252508____1-401,,10,,12,,,,,,,,,,,,,,,
chr5_126673078_126673480_enh_SOLO_7down____chr5_126673078-126673480____1-401,,,,,,,,,,,,,,,5,,,,
chr4_9730530_9730938_EncodeTxn_SOLO_C_7down_-__chr4_9730530-9730938_-__1-408,,,,,,,,,,,,,,,,,,,
chr3_40560896_40566678_3079_ZNF534_ZNF90_KAP1_EncodeRepressed_7down____chr3_40560896-40561296____1-398,1,10,11,12,,,,,,,,,,,,6,,,
chr9_122535746_122536148_EncodeRepressed_SOLO_C_7down_-__chr9_122535746-122536148_-__1-399,,,11,,,,,,,,,,,4,,,,,
chr5_104031710_104037313_3297_ZNF534_EncodeTxn_7down____chr5_104031710-104032118____1-408,,10,,,,,,,,,,,,,,,,,
chr11_119649893_119650304_weakenh_SOLO_NANOG_SMAD11_C_7down_-__chr11_119649893-119650304_-__1-410,,,,,13,,,,,,,2,,4,5,,,,
chr15_62296471_62296867_TSS_SOLO_NANOG_SMAD11_7down____chr15_62296471-62296867____1-396,,,,,13,,,,,,,2,,4,5,,,,
chr9_25675972_25676379_TSSflanking_SOLO_7down____chr9_25675972-25676379____1-404,,,,,,,,,,,,,,,,,,,
chr6_138329818_138330218_h3k27ac_weakenh_SOLO_C_7down_-__chr6_138329818-138330218_-__1-400,,,,,,,,,,,,,,4,5,,,,
chr3_45313431_45313830_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr3_45313431-45313830_-__1-398,,,,,,,,,,,,2,,4,5,,,,
chr4_52834802_52835186_h3k27ac_enh_SOLO_FOXP1_NANOG_44108_SMAD11_TCF4_7down____chr4_52834802-52835186____1-383,,,,,13,,15,,17,,,2,,4,,,,,
chrX_29975546_29981247_2113_1_EncodeRepressed_7down____chrX_29975546-29975946____1-400,,,,,,,,,,,,,,,,6,,,
chr4_11653569_11659254_3136_1_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr4_11658859-11659254_-__1-395,,,,,,,,,,,,,,,,,,,
chr11_123865322_123871065_3018_KAP1_EncodeTxn_C_7down_-__chr11_123870666-123871065_-__1-398,,,11,12,,,,,,,,,,,,,,,
chr5_162275428_162281160_4597_ZNF534_EncodeTxn_NANOG_GRO4of7_C_7down_-__chr5_162280751-162281160_-__1-407,,10,,,,,,,,,,2,,4,5,6,,,
chr3_173353080_173353490_EncodeRepressed_SOLO_NANOG_C_7down_-__chr3_173353080-173353490_-__1-410,,,,,,,,,,,,2,,4,5,,,,
chr5_170762081-170767864_3291_ZNF534_ZNF90_KAP1_k4me3_weakenh_GRO2of7__chr5_170767456-170767864_-__1-408,1,10,,12,,,,,,,,,,4,5,6,,,
chr4_166520700_166526430_3325_ZNF534_EncodeRepressed_7down____chr4_166520700-166521091____1-391,,10,,,,,,,,,,,,,,6,,,
chr2_179051593_179057323_3319_1_EncodeTxn_GRO3of7_C_7down_-__chr2_179056938-179057323_-__1-385,,,,,,,,,,,,,,,,,,,
chr7_20546709_20551693_2427_1_EncodeTxn_7down____chr7_20546709-20547109____1-399,,,,,,,,,,,,,,,,,,,
chrX_126863047_126868992_4503_ZNF534_KAP1_EncodeTxn_7down____chrX_126863047-126863509____1-411,,10,,12,,,,,,,,,,,,,,,
chrX_30103613_30109253_3199_1_EncodeRepressed_GRO4of7_7down____chrX_30103613-30104012____1-399,,,,,,,,,,,,,,4,,,,,
chr4_179720525-179726896_3376_ZNF534_KAP1_EncodeRepressed_GRO2of7__chr4_179720525-179720933____1-407,,10,11,12,,,,,,,,,,,,,,,
chr6_130192311_130198222_4778_ZNF534_ZNF90_KAP1_EncodeTxn_7down____chr6_130192311-130192710____1-399,1,10,11,12,,,,,,,,,,4,5,6,,,
chr13_61088458_61094439_4519_1_k4me3_EncodeTxn_NANOG_GRO3of7_7down____chr13_61088458-61088865____1-407,,,,,,,,,,,,2,,4,,6,,,
chr15_92511307_92517425_3349_ZNF534_ZNF90_KAP1_NANOG_7down____chr15_92511307-92511769____1-409,1,10,11,12,,,,,,,,2,,4,5,,,,
chrX_12939865_12945537_3325_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO3of7_7down____chrX_12939865-12940276____1-410,1,10,11,12,,,,,,,,2,,4,,,,,
chr2_140426394_140432402_3077_1_EncodeRepressed_NANOG_GRO4of7_7down____chr2_140426394-140426801____1-407,,,,,,,,,,,,2,,,,,,,
chr3_54656900_54657297_EncodeTxn_SOLO_C_7down_-__chr3_54656900-54657297_-__1-394,,,,,,,,,,,,,,,5,,,,
chr8_83504703_83510920_3282_ZNF534_EncodeRepressed_GRO4of7_C_7down_-__chr8_83510522-83510920_-__1-398,,10,,,,,,,,,,,,4,,,,,
chr10_80910389_80910748_weakenh_SOLO_NANOG_C_7down_-__chr10_80910389-80910748_-__1-358,,,,,,,,,,,,2,,4,,,,,
chr8_85062831_85069153_3229_ZNF534_KAP1_weakenh_7down____chr8_85062831-85063238____1-407,,10,,12,,,,,,,,,,,,,,,
chr1_212908311_212908714_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr1_212908311-212908714_-__1-403,,,,,,,,,,,,2,,4,5,,,,
chr12_60979274_60979684_h3k27ac_EncodeTxn_SOLO_C_7down_-__chr12_60979274-60979684_-__1-410,,,,,,,,,,,,,,,,,,,
chr7_124729157-124734734_3295_ZNF534_KAP1_EncodeRepressed_NANOG_GRO2of7__chr7_124729157-124729555____1-398,,10,,12,,,,,,,,2,,,,,,,
chr13_63213193_63219132_3448_ZNF534_KAP1_EncodeTxn_GRO3of7_7down____chr13_63213193-63213548____1-355,,10,11,12,,,,,,,,,,,,,,,
chr3_145551229_145556922_4420_ZNF534_k27ac_EncodeTxn_NANOG_GRO7of7_C_7down_-__chr3_145556513-145556922_-__1-409,,10,,,,,,,,,,2,,4,5,,,,
chr2_194130702_194136554_3182_KAP1_EncodeRepressed_GRO4of7_C_7down_-__chr2_194136145-194136554_-__1-409,,,11,12,,,,,,,,,,,,,,,
chr5_98752537_98752948_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr5_98752537-98752948_-__1-411,,,,,,,,,,,,2,,4,,,,,
chr8_128914459_128920320_3249_ZNF534_ZNF90_KAP1_EncodeTxn_GRO1of7_7down____chr8_128914459-128914868____1-408,1,10,11,12,,,,,,,,,,,,,,8,
chr6_18754144-18759870_3389_ZNF534_k4me3_EncodeTxn_wangmod_GRO2of7__chr6_18759480-18759870_-__1-390,,10,,,,,,,,,,,,4,,6,,,
chr12_80783123_80788892_3404_ZNF534_EncodeTxn_chimeric_C_7down_-__chr12_80788488-80788892_-__1-400,,10,,,,,,,,,,,,,,6,7,,
chr11_15365096_15365507_EncodeTxn_SOLO_C_7down_-__chr11_15365096-15365507_-__1-399,,,,,,,,,,,,,,,,,,,
chr3_174232028_174232438_h3k27ac_enh_SOLO_FOXP1_NANOG_44108_C_7down_-__chr3_174232028-174232438_-__1-409,,,,,,,,,17,,,2,,4,5,,,,
chr4_157596585_157597000_weakenh_SOLO_C_7down_-__chr4_157596585-157597000_-__1-408,,,,,,,,,,,,,,4,,,,,
chr6_16259012_16264893_3426_ZNF534_k4me3_EncodeRepressed_NANOG_SMAD11_wangmod_chimeric_C_7down_-__chr6_16264482-16264893_-__1-410,,10,,,13,,,,,,,2,,4,,6,7,,
chrY_6139215_6144893_4289_KAP1_7down____chrY_6139215-6139624____1-409,,,11,12,,,,,,,,,,,,6,,,
chr2_116183753_116189710_3107_KAP1_EncodeTxn_C_7down_-__chr2_116189300-116189710_-__1-410,,,,12,,,,,,,,,,,,,,,
chr11_29973188_29973618_EncodeTxn_SOLO_C_7int_-__chr11_29973188-29973618_-__1-391,,,,,,,,,,,,,,,5,,,,
chr9_22658527_22664062_3090_1_EncodeTxn_C_7down_-__chr9_22663660-22664062_-__1-400,,,,,,,,,,,,,,,,,,,
chr14_87234691_87240791_5947_ZNF534_k4me3_enh_FOXP1_NANOG_C_7down_-__chr14_87240384-87240791_-__1-407,,10,,,,,,,17,,,2,,4,,6,,,
chr22_34834608-34840024_2649_1_k4me3_EncodeTxn_GRO2of7__chr22_34834608-34835022____1-409,,,,,,,,,,,,,,4,,,,,
chr5_144611352_144616900_2412_1_EncodeTxn_GRO4of7_C_7down_-__chr5_144616491-144616900_-__1-409,,,,,,,,,,,,,,,,,,,
chr2_208215925_208221935_4314_ZNF534_ZNF90_KAP1_EncodeRepressed_C_7down_-__chr2_208221531-208221935_-__1-397,1,10,11,12,,,,,,,,,,,,,,,
chr6_109855775_109861579_3393_ZNF534_ZNF90_KAP1_EncodeTxn_C_7down_-__chr6_109861168-109861579_-__1-411,1,10,11,12,,,,,,,,,,,,,,,
chr3_911603_912013_EncodeTxn_SOLO_NANOG_C_7down_-__chr3_911603-912013_-__1-409,,,,,,,,,,,,2,,,,,,,
chr12_72709003_72714311_2935_1_EncodeTxn_C_7down_-__chr12_72713958-72714311_-__1-350,,,,,,,,,,,,,,,,,,,
chr5_101315240_101320597_2892_ZNF534_EncodeRepressed_7down____chr5_101315240-101315641____1-400,,10,,,,,,,,,,,,,,6,,,
chr4_68405894_68406295_h3k4me3_TSS_SOLO_FOXP1_MED1_NANOG_44108_SMAD11_SOX2_TCF4_7down____chr4_68405894-68406295____1-400,,,,,13,,15,16,17,,,2,3,4,,6,,,
chr7_6903791_6908992_4337_ZNF534_EncodeTxn_7down____chr7_6903791-6904200____1-409,,10,,,,,,,,,,,,,,,,,
chr4_130767409_130773268_3284_ZNF534_KAP1_k27ac_weakenh_NANOG_GRO1of7_7down____chr4_130767409-130767810____1-401,,10,,12,,,,,,,,2,,4,,6,,8,
chr13_61205682-61211279_2425_1_k4me3_EncodeTxn_NANOG_GRO2of7__chr13_61205682-61206083____1-401,,,,,,,,,,,,2,,4,,6,,,
chr10_20119204_20124934_4521_ZNF534_ZNF90_KAP1_EncodeTxn_GRO1of7_C_7down_-__chr10_20124534-20124934_-__1-399,1,10,11,12,,,,,,,,,,4,,,,8,
chr17_76605988_76611511_3491_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr17_76611085-76611511_-__1-408,1,10,11,12,,,,,,,,2,,4,,6,,,
chr3_118733396_118733806_EncodeTxn_SOLO_NANOG_C_7down_-__chr3_118733396-118733806_-__1-410,,,,,,,,,,,,2,,,5,,,,
chr17_70723947_70724348_EncodeRepressed_SOLO_C_7down_-__chr17_70723947-70724348_-__1-399,,,,,,,,,,,,,,,,,,,
chr2_83788947_83794480_3229_KAP1_EncodeTxn_C_7down_-__chr2_83794073-83794480_-__1-406,,,,12,,,,,,,,,,,,6,,,
chr8_103645854_103646263_enh_SOLO_NANOG_C_7down_-__chr8_103645854-103646263_-__1-409,,,,,,,,,,,,2,,4,5,,,,
chr11_116450269_116450679_EncodeRepressed_SOLO_NANOG_7down____chr11_116450269-116450679____1-410,,,,,,,,,,,,2,,4,,,,,
chr5_40252645_40253046_EncodeRepressed_SOLO_C_7down_-__chr5_40252645-40253046_-__1-401,,,,,,,,,,,,,,,,,,,
chr11_56059270_56059680_h3k27ac_EncodeRepressed_SOLO_C_7down_-__chr11_56059270-56059680_-__1-408,,,,,,,,,,,,,,4,5,,,,
chr18_57857373_57857769_EncodeRepressed_SOLO_7down____chr18_57857373-57857769____1-396,,,,,,,,,,,,,,,,,,,
chr9_25288176-25294101_3195_1_EncodeTxn_wangmod_GRO2of7__chr9_25288176-25288591____1-399,,,,,,,,,,,,,,,,,,,
chr3_20967541_20973231_4394_ZNF534_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr3_20972820-20973231_-__1-408,,10,,,,,,,,,,,,,,,,,
chr4_186044023_186049672_3037_ZNF90_KAP1_EncodeTxn_chimeric_GRO4of7_C_7down_-__chr4_186049275-186049672_-__1-397,1,,11,12,,,,,,,,,,,,,7,,
chr10_5470768_5477012_2822_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO1of7_7down____chr10_5470768-5471177____1-409,1,10,11,12,,,,,,,,,,,,6,,8,
chr4_162709182_162714747_3186_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO3of7_7down____chr4_162709182-162709583____1-401,1,10,11,12,,,,,,,,2,,4,,6,,,
chr1_82955311_82961594_4405_ZNF534_EncodeRepressed_7down____chr1_82955311-82955724____1-411,,10,,,,,,,,,,,,,,,,,
chr3_39577832_39583618_3225_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO3of7_C_7down_-__chr3_39583209-39583618_-__1-409,1,10,11,12,,,,,,,,2,,4,,6,,,
chr3_8177031_8182716_4543_ZNF534_EncodeRepressed_7down____chr3_8177031-8177441____1-410,,10,,,,,,,,,,,,4,,,,,
chr1_225810575_225810980_h3k4me3_TSS_SOLO_NANOG_TCF4_C_7down_-__chr1_225810575-225810980_-__1-402,,,,,,,15,,,,,2,,4,,6,,,
chr19_52484546_52484943_h3k27ac_EncodeTxn_SOLO_NANOG_chimeric_7down____chr19_52484546-52484943____1-397,,,11,,,,,,,,,2,,4,,,7,,
chr1_239030861_239031261_EncodeTxn_SOLO_NANOG_7down____chr1_239030861-239031261____1-400,,,,,,,,,,,,2,,,,,,,
chr9_35003293-35009333_3295_ZNF534_enh_GRO2of7__chr9_35003293-35003704____1-411,,10,,,,,,,,,,,,,,,,,
chr11_63452639_63454201_1085_ZNF534_k27ac_EncodeRepressed_7int____chr11_63452639-63453089____1-450,,10,,,,,,,,,,,,4,,,,,
chr2_208907908_208908369_EncodeRepressed_SOLO_7int____chr2_208907908-208908369____1-456,,,,,,,,,,,,,,,,,,,
chr12_75484505_75484896_enh_SOLO_C_7old_-__chr12_75484505-75484896_-__1-389,,,,,,,,,,,,,,4,5,,,,
chr11_49320583_49326841_2645_1_EncodeTxn_TCF4_GRO5of7_GRO6of7_GRO7of7_C_7old_-__chr11_49326475-49326841_-__1-358,,,11,,,,15,,,,,,,4,,,,,
chr11_89381304_89387559_2623_1_EncodeTxn_GRO4of7_7old____chr11_89381304-89381670____1-357,,,,,,,,,,,,,,,,,,,
chr2_184759632_184760011_EncodeRepressed_SOLO_NANOG_7int____chr2_184759632-184760011____1-379,,,,,,,,,,,,2,,4,,,,,
chr15_86986803_86987258_h3k27ac_EncodeRepressed_SOLO_NANOG_44108_C_7int_-__chr15_86986803-86987258_-__1-448,,,,,,,,,,,,2,,4,,,,,
chr4_86474771_86480520_3025_ZNF534_k4me3_EncodeTxn_NANOG_chimeric_7old____chr4_86474771-86475220____1-441,,10,,,,,,,,,,2,,4,,6,7,,
chr9_2275706_2281524_3190_ZNF534_k4me3_EncodeTxn_wangmod_GRO1of7_7old____chr9_2275706-2276105____1-391,,10,,,,,,,,,,,,4,5,6,,8,
chr1_82354569_82360556_2636_ZNF534_KAP1_k27ac_EncodeTxn_GRO4of7_C_7old_-__chr1_82360161-82360556_-__1-395,,10,,12,,,,,,,,,,4,,,,,
chr4_103941268-103947029_2996_ZNF534_EncodeRepressed_GRO2of7__chr4_103941268-103941716____1-448,,10,,,,,,,,,,,,,,,,,
chrX_116105682_116106136_EncodeRepressed_SOLO_NANOG_7int____chrX_116105682-116106136____1-454,,,,,,,,,,,,2,,4,5,,,,
chr1_116860171_116860634_h3k27ac_EncodeRepressed_SOLO_C_7int_-__chr1_116860171-116860634_-__1-450,,,,,,,,,,,,,,,,,,,
chr7_20120709_20126555_2964_ZNF534_k4me3_TSS_MED1_NANOG_44108_SMAD11_SOX2_wanghigh_GRO1of7_7int____chr7_20120709-20121160____1-445,,10,,,13,,,16,,,,2,3,4,,6,,8,9
chrX_28892120_28898168_3009_ZNF534_k4me3_EncodeRepressed_NANOG_GRO5of7_GRO6of7_GRO7of7_C_7old_-__chrX_28897714-28898168_-__1-447,,10,,,,,,,,,,2,,4,,,,,
chr11_83430603_83436575_2643_1_EncodeTxn_C_7int_-__chr11_83436120-83436575_-__1-453,,,,,,,,,,,,,,4,,,,,
chr18_35844062_35850418_2579_ZNF534_KAP1_EncodeRepressed_GRO1of7_7int____chr18_35844062-35844501____1-439,,10,,12,,,,,,,,,,,,,,8,
chr5_23381160_23381619_EncodeTxn_SOLO_7int____chr5_23381160-23381619____1-455,,,,,,,,,,,,,,4,5,,,,
chr6_130795837_130796283_weakenh_SOLO_NANOG_C_7int_-__chr6_130795837-130796283_-__1-446,,,,,,,,,,,,2,,,,,,,
chr12_29134620_29140801_2944_ZNF534_EncodeTxn_C_7int_-__chr12_29140360-29140801_-__1-441,,10,11,,,,,,,,,,,,,,,,
chr21_42800847_42806578_2990_ZNF534_k4me3_weakenh_NANOG_C_7int_-__chr21_42806132-42806578_-__1-446,,10,,,,,,,,,,2,,4,,6,,,
chr8_57390769_57391200_EncodeTxn_SOLO_7old____chr8_57390769-57391200____1-428,,,11,,,,,,,,,,,,,,,,
chr10_45571174_45576085_2178_ZNF534_k27ac_EncodeTxn_7old____chr10_45571174-45571568____1-390,,10,,,,,,,,,,,,,,,,,
chr1_21554968_21555417_EncodeTxn_SOLO_NANOG_C_7int_-__chr1_21554968-21555417_-__1-448,,,,,,,,,,,,2,,4,,,,,
chr11_4219299_4225317_1668_ZNF534_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7int_-__chr11_4224872-4225317_-__1-439,,10,,,,,,,,,,,,,,,,,
chr11_4315702_4321901_1692_ZNF534_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7int_-__chr11_4321456-4321901_-__1-439,,10,,,,,,,,,,,,,5,,,,
chr11_4250610_4251055_EncodeRepressed_SOLO_7int____chr11_4250610-4251055____1-439,,,,,,,,,,,,,,,,,,,
chr15_26719883_26720337_h3k27ac_weakenh_SOLO_NANOG_SOX2_7old____chr15_26719883-26720337____1-447,,,,,,,,16,,,,2,,4,5,,,,
chr11_81769942_81770404_h3k27ac_EncodeTxn_SOLO_7old____chr11_81769942-81770404____1-449,,,,,,,,,,,,,,4,,,,,
chr11_6366028_6371660_3013_ZNF534_EncodeRepressed_7down____chr11_6366028-6366431____1-403,,10,,,,,,,,,,,,,,,,,
chr12_66222841_66223297_EncodeTxn_SOLO_C_7old_-__chr12_66222841-66223297_-__1-450,,,,,,,,,,,,,,4,5,,,,
chr2_82005634_82006082_weakenh_SOLO_NANOG_SMAD11_7old____chr2_82005634-82006082____1-448,,,,,13,,,,,,,2,,4,5,,,,
chr6_29296434_29296883_EncodeTxn_SOLO_NANOG_7old____chr6_29296434-29296883____1-448,,,,,,,,,,,,2,,,,,,,
chr12_132898049_132898499_h3k27ac_EncodeTxn_SOLO_7old____chr12_132898049-132898499____1-448,,,,,,,,,,,,,,,,,,,
chr21_17087734_17088180_EncodeRepressed_SOLO_7int____chr21_17087734-17088180____1-446,,,,,,,,,,,,,,,,,,,
chr5_99229819_99230194_EncodeTxn_SOLO_7old____chr5_99229819-99230194____1-367,,,,,,,,,,,,,,,,,,,
chrX_116332006_116336841_2410_1_k27ac_EncodeRepressed_GRO7of7_7down____chrX_116332006-116332395____1-387,,,,,,,,,,,,,,,,,,,
chr19_47296710_47297157_EncodeTxn_SOLO_7old____chr19_47296710-47297157____1-392,,,,,,,,,,,,,,4,,,,,
chr17_65158898_65159347_EncodeTxn_SOLO_7int____chr17_65158898-65159347____1-447,,,,,,,,,,,,,,,,,,,
chr17_19458339_19458728_h3k27ac_enh_SOLO_NANOG_C_7old_-__chr17_19458339-19458728_-__1-389,,,,,,,,,,,,2,,4,5,,,,
chr20_23528306_23528753_h3k27ac_enh_SOLO_C_7int_-__chr20_23528306-23528753_-__1-447,,,,,,,,,,,,,,,,,,,
chr3_162712460_162718258_2750_ZNF534_k4me3_EncodeTxn_GRO3of7_7int____chr3_162712460-162712907____1-445,,10,,,,,,,,,,,,,,,,,
chr6_160228651-160234322_2495_ZNF534_KAP1_k27ac_EncodeRepressed_GRO2of7__chr6_160228651-160229043____1-391,,10,,12,,,,,,,,,,4,,,,,
chr7_32832561_32838271_2846_ZNF534_KAP1_EncodeRepressed_GRO3of7_7int____chr7_32832561-32833012____1-450,,10,11,12,,,,,,,,,,4,,,,,
chr8_13821388_13821771_EncodeRepressed_SOLO_C_7old_-__chr8_13821388-13821771_-__1-362,,,,,,,,,,,,,,,,,,,
chr1_112820145-112826054_1748_ZNF534_KAP1_k4me3_enh_NANOG_wanghigh_GRO2of7__chr1_112825661-112826054_-__1-393,,10,,12,,,,,,,,2,,4,5,6,,,9
chr1_89181108_89181507_EncodeRepressed_SOLO_C_7old_-__chr1_89181108-89181507_-__1-397,,,,,,,,,,,,,,,5,,,,
chr4_174519435_174519881_h3k27ac_EncodeTxn_SOLO_7int____chr4_174519435-174519881____1-446,,,,,,,,,,,,,,,,,,,
chr1_244350717_244351134_h3k27ac_weakenh_SOLO_7old____chr1_244350717-244351134____1-411,,,,,,,,,,,,,,4,5,,,,
chr2_150112717_150118564_1797_ZNF534_EncodeTxn_GRO3of7_7old____chr2_150112717-150113169____1-445,,10,,,,,,,,,,,,,,,,,
chr6_51938241_51944426_2534_ZNF534_KAP1_EncodeTxn_7int____chr6_51938241-51938681____1-439,,10,,12,,,,,,,,,,,,,,,
chr18_42991497_42996809_3227_1_EncodeRepressed_7down____chr18_42991497-42991957____1-408,,,11,,,,,,,,,,,,,,,,
chr8_3237992_3243711_3347_1_k4me3_EncodeRepressed_GRO3of7_C_7down_-__chr8_3243321-3243711_-__1-378,,,,,,,,,,,,,,4,5,,,,
chr10_25902389_25902799_EncodeTxn_SOLO_C_7down_-__chr10_25902389-25902799_-__1-409,,,,,,,,,,,,,,,5,,,,
chr2_98192227_98192634_EncodeRepressed_SOLO_C_7down_-__chr2_98192227-98192634_-__1-407,,,,,,,,,,,,,,,5,,,,
chr1_147833885_147834292_enh_SOLO_NANOG_7down____chr1_147833885-147834292____1-407,,,,,,,,,,,,2,,4,5,,,,
chr11_71505505_71505914_h3k27ac_EncodeTxn_SOLO_7down____chr11_71505505-71505914____1-408,,,,,,,,,,,,,,4,5,,,,
chr3_170817615_170823761_5821_ZNF534_KAP1_EncodeRepressed_C_7down_-__chr3_170823356-170823761_-__1-405,,10,11,12,,,,,,,,,,4,,6,,,
chr4_128640894_128646609_3062_ZNF534_KAP1_EncodeTxn_NANOG_GRO3of7_C_7down_-__chr4_128646200-128646609_-__1-398,,10,11,12,,,,,,,,2,,,,,,,
chr12_8804879_8810576_3190_ZNF534_k4me3_weakenh_NANOG_GRO1of7_7down____chr12_8804879-8805281____1-402,,10,,,,,,,,,,2,,4,,6,,8,
chr9_131547214_131551936_2158_ZNF534_enh_GRO4of7_7down____chr9_131547214-131547620____1-406,,10,,,,,,,,,,,,,,,,,
chr7_148309416_148315615_3175_ZNF534_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr7_148315206-148315615_-__1-409,,10,,12,,,,,,,,,,4,,,,,
chr11_6801847_6802255_EncodeRepressed_SOLO_7down____chr11_6801847-6802255____1-408,,,,,,,,,,,,,,,,,,,
chr3_166500605_166506418_3203_ZNF534_KAP1_EncodeTxn_GRO4of7_C_7down_-__chr3_166506020-166506418_-__1-398,,10,11,12,,,,,,,,,,,,,,,
chr6_86598252_86603901_3127_ZNF534_EncodeTxn_GRO4of7_C_7down_-__chr6_86603494-86603901_-__1-407,,10,,,,,,,,,,,,,5,,,,
chr11_131254535_131260279_3358_ZNF534_KAP1_EncodeTxn_GRO1of7_C_7down_-__chr11_131259868-131260279_-__1-411,,10,11,12,,,,,,,,,,,,,,8,
chr11_81802232_81802643_h3k27ac_EncodeRepressed_SOLO_7down____chr11_81802232-81802643____1-411,,,,,,,,,,,,,,,,,,,
chr18_75093813_75094223_EncodeTxn_SOLO_C_7down_-__chr18_75093813-75094223_-__1-410,,,,,,,,,,,,,,,,,,,
chr4_178207120_178213342_3572_ZNF534_ZNF90_KAP1_EncodeRepressed_7down____chr4_178207120-178207531____1-411,1,10,11,12,,,,,,,,,,,,,,,
chr4_20629771_20635978_4427_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_C_7down_-__chr4_20635569-20635978_-__1-409,1,10,11,12,,,,,,,,2,,,,,,,
chr19_20068808_20069207_h3k27ac_weakenh_SOLO_NANOG_SOX2_C_7down_-__chr19_20068808-20069207_-__1-398,,,,,,,,16,,,,2,,4,,,,,
chr6_23029012_23029421_h3k27ac_TSSflanking_SOLO_7down____chr6_23029012-23029421____1-409,,,,,,,,,,,,,,,,,,,
chr8_131740755_131746622_3238_ZNF534_EncodeTxn_7down____chr8_131740755-131741151____1-395,,10,,,,,,,,,,,,,,,,,
chr20_23764763_23765176_weakenh_SOLO_NANOG_TCF4_7down____chr20_23764763-23765176____1-407,,,,,,,15,,,,,2,,4,5,,,,
chr14_84500250_84505973_4521_KAP1_EncodeTxn_NANOG_GRO4of7_C_7down_-__chr14_84505565-84505973_-__1-408,,,11,12,,,,,,,,2,,4,,6,,,
chr6_148639772_148645508_4451_ZNF534_KAP1_EncodeRepressed_NANOG_7down____chr6_148639772-148640179____1-406,,10,11,12,,,,,,,,2,,,,,,,
chr5_124497035_124502739_4482_ZNF534_KAP1_TSSflanking_NANOG_44108_GRO1of7_7down____chr5_124497035-124497443____1-408,,10,11,12,,,,,,,,2,,4,,6,,8,
chr9_102729838_102730248_EncodeRepressed_SOLO_C_7down_-__chr9_102729838-102730248_-__1-399,,,11,,,,,,,,,,,,,,,,
chr19_54894297_54900597_1746_ZNF534_EncodeTxn_chimeric_C_7down_-__chr19_54900185-54900597_-__1-411,,10,11,,,,,,,,,,,,,,7,,
chr1_53449415_53449824_h3k27ac_enh_SOLO_NANOG_TCF4_7down____chr1_53449415-53449824____1-408,,,,,,,15,,,,,2,,4,5,6,,,
chrX_55868217_55868626_EncodeRepressed_SOLO_7down____chrX_55868217-55868626____1-409,,,,,,,,,,,,,,4,,,,,
chr10_50503342_50503701_weakenh_SOLO_7down____chr10_50503342-50503701____1-359,,,,,,,,,,,,,,,5,,,,
chr13_77933223_77939379_1838_ZNF534_ZNF90_KAP1_EncodeTxn_GRO3of7_C_7down_-__chr13_77938980-77939379_-__1-399,1,10,11,12,,,,,,,,,,,,,,,
